id,tyc,gaia,hyg,hip,hd,hr,gl,bayer,constellation,proper,ra,dec,dist_ly,x0,y0,z0,dist_src,mag,absmag,spect,ci,
1968557,7422-1737-1,,93530,93825,177474,7226,Gl 743.1A,Gam,CrA,,19.10698612,-37.06349317,56.445648,3.946,-13.232,-10.429,HIP,4.23,3.039,F8/G0 V,0.523,
995422,4885-1568-1,,46376,46509,81997,3759,Gl 348A,Tau-1,Hya,,9.485805,-2.768964,56.543507999999996,-13.697,10.591,-0.837,HIP,4.59,3.396,F6V,0.411,
128698,8475-527-1,4912580642524184960,7963,7978,10647,506,GJ 3109,,Eri,,1.70814437,-53.74082748,56.5917856,9.252,4.437,-13.989,G_R3,5.52,4.324,F8 V,0.551,
1560670,955-1148-1,,77565,77801,142267,5911,GJ 3924,,Ser,,15.88669375,13.19662427,56.5927642,-8.876,-14.371,3.961,HIP,6.07,4.874,G2V,0.598,
1710946,6246-664-1,,84636,84893,156897,6445,Gl 670A,Xi,Oph,,17.350101,-21.112933,56.6123362,-2.741,-15.956,-6.251,HIP,4.39,3.193,F2/F3V,0.394,
204832,8056-1164-1,4745373133284418816,12620,12653,17051,810,Gl 108,Iot,Hor,,2.70929612,-50.8002928,56.6191864,8.324,7.145,-13.451,G_R3,5.4,4.203,G0 V,0.561,
1541216,7849-3219-1,5989102478619519616,76593,76829,139664,5825,Gl 594,,Lup,,15.68649371,-44.66120584,56.754233199999994,-7.045,-10.174,-12.23,G_R3,4.64,3.437,F3/5 V,0.413,
615224,1898-2479-1,3381727613874753536,33190,33277,50692,2569,Gl 252,,Gem,,6.92185193,25.37569676,56.774131399999995,-3.758,15.27,7.459,G_R3,5.74,4.537,G 0 V,0.573,
1427820,318-438-1,3654496279558010624,70096,70319,126053,5384,Gl 547,,Vir,,14.38757905,1.24156791,56.957781999999995,-14.156,-10.215,0.378,G_R3,6.25,5.04,G5 V,0.639,
2162279,4245-1794-1,2246581329639103872,99696,100017,193664,7783,Gl 788,,Dra,,20.29203693,66.85368503,57.0240006,3.88,-5.671,16.074,G_R3,5.91,4.697,G5V,0.602,
1573048,2576-2228-1,1323427759184545536,78223,78459,143761,5968,Gl 606.2,Rho,CrB,,16.01740566,33.30350761,57.1202296,-7.26,-12.708,9.615,G_R3,5.39,4.173,G0V,0.612,
21627,9354-780-1,4634528720388462592,1291,1292,1237,,GJ 3021,,Hyi,,0.26986,-79.851182,57.2637576,3.086,0.218,-17.28,G_R3,6.59,5.368,G6V,0.749,
1293132,3021-2548-1,1521686782461765888,62014,62207,110897,4845,Gl 484,,CVn,,12.74983446,39.27891614,57.2696292,-13.329,-2.651,11.115,G_R3,5.95,4.728,G0V,0.557,
1587797,3067-576-1,,79009,79248,145675,,Gl 614,,Her,,16.17342071,43.81764891,57.3185592,-5.834,-11.256,12.166,HIP,6.61,5.386,K 0 V,0.877,
1334072,891-624-1,3732539683617410816,64587,64792,115383,5011,Gl 504,,Vir,,13.2795876,9.42415796,57.371403600000008,-16.386,-5.704,2.88,G_R3,5.19,3.964,F8V,0.585,
1823182,9059-2661-1,,88765,89042,165499,6761,Gl 705.1,Iot,Pav,,18.17393269,-62.0022259,57.449691599999994,0.376,-8.259,-15.551,HIP,5.47,4.241,G1 V,0.592,
276042,6448-1370-1,,17609,17651,23754,1173,Gl 155,Tau-6,Eri,,3.78080217,-23.24972535,57.500578800000007,8.889,13.539,-6.958,HIP,4.22,2.989,F3/5 V,0.434,
250122,7571-425-1,4852870701505115904,15760,15799,21175,,GJ 3222A,,Eri,,3.393126,-40.076389,57.6764006,8.533,10.499,-11.383,G_R3,6.9,5.662,K0V,0.84,
1215520,7217-698-1,3480332916165099904,57334,57507,102438,4525,Gl 446,,Hya,,11.78772435,-30.28650998,57.8753826,-15.297,0.851,-8.948,G_R3,6.48,5.235,G5 V,0.681,
2126990,1621-1499-1,1821708351374312064,98504,98819,190406,7672,Gl 779,,Sge,,20.06839607,17.07017106,57.9712854,8.756,-14.558,5.217,G_R3,5.8,4.551,G1V,0.6,
1325157,1454-1134-1,,64037,64241,114378,4968,Gl 501A,Alp,Com,Diadem,13.16646858,17.52944436,58.1461286,-16.211,-5.11,5.369,HIP,4.32,3.065,F5V,0.455,
145915,8047-1321-1,,8989,9007,11937,566,Gl 81A,Chi,Eri,,1.9326298,-51.60887338,58.2293096,9.697,5.373,-13.991,HIP,3.69,2.432,G8 IIIBCNIV,0.844,
1513299,2563-1366-1,,75083,75312,137107,5727,Gl 584A,Eta,CrB,,15.38675,30.287812,58.270737,-9.749,-11.954,9.009,HIP,4.99,3.73,G2V,0.577,
1169812,1439-2479-1,,54712,54872,97603,4357,Gl 419,Del,Leo,Zosma,11.235138,20.523717,58.437751399999996,-16.442,3.337,6.281,HIP,2.56,1.294,A4V,0.128,
2130964,9098-1638-1,6427244702486210816,98643,98959,189567,7644,Gl 776,,Pav,,20.09243523,-67.32089552,58.495162600000008,3.601,-5.902,-16.546,G_R3,6.07,4.802,G3 V,0.648,
2301432,6945-785-1,,104972,105312,202940,8148,Gl 825.4A,,Cap,,21.32934239,-26.35286136,58.616509,12.324,-10.363,-7.977,HIP,6.56,5.287,G5V,0.737,
144249,1212-1935-1,,8884,8903,11636,553,Gl 80,Bet,Ari,Sheratan,1.910668,20.808035,58.6690272,14.753,8.063,6.389,HIP,2.64,1.365,A5V...,0.165,
1422075,6735-1289-1,6270906415441316224,69742,69965,125276,5356,Gl 542.1A,,Hya,,14.31691619,-25.81542876,58.679465600000007,-13.305,-9.231,-7.834,G_R3,5.87,4.595,F7(W)F3 V,0.518,
1339129,7275-2074-1,,64904,65109,115892,5028,Gl 508.1,Iot,Cen,,13.34328251,-36.71229344,58.7854806,-13.563,-4.976,-10.773,HIP,2.75,1.471,A2 V,0.068,
1404493,7293-2215-1,,68714,68933,123139,5288,Gl 539,The,Cen,Menkent,14.11137449,-36.36995824,58.827886600000006,-12.359,-7.624,-10.694,HIP,2.06,0.78,K0 IIIB,1.011,
